 349 111.98     1069  46.8738   1789  48.7208   2509 201.005    3229  62.0533
 350 111.861    1070  49.0708   1790  53.2472   2510 213.622    3230  62.4196
 351 112.707    1071  64.3182   1791  68.4318   2511 223.636    3231  70.6825
 352 115.178    1072  72.5548   1792  85.4856   2512 224.485    3232  83.31
 353 121.484    1073  73.8602   1793 131.348    2513 218.154    3233 130.795
 354 118.672    1074  73.6743   1794 139.651    2514 214.992    3234 149.225
 355 105.195    1075  72.5533   1795 112.637    2515 212.869    3235 147.727
 356 102.532    1076  72.2988   1796 111.954    2516 206.663    3236 183.514
 357 106.936    1077  73.2098   1797 136.628    2517 172.102    3237 217.945
 358 107.284    1078  80.3291   1798 131.267    2518 125.98     3238 219.672
 359 103.253    1079 109.952    1799  92.9464   2519  80.8033   3239 207.19
 360 106.975    1080 124.305    1800  91.0841   2520  80.4689   3240 207.159
 361 136.748    1081 110.073    1801 114.641    2521  55.8095   3241  41.3531
 362 132.789    1082 114.508    1802 115.28     2522  53.7105   3242  37.4653
 363 110.274    1083 140.75     1803 125.896    2523  96.4138   3243  61.6272
 364 105.31     1084 140.66     1804 127.698    2524  52.9856   3244  90.1004
 365 111.287    1085 115.492    1805 122.675    2525  24.9869   3245 140.134
 366 112.58     1086 109.513    1806 118.889    2526  58.0841   3246 125.05
 367 110.204    1087 115.666    1807 113.754    2527 242.186    3247  70.8183
 368 115.708    1088 117.429    1808 120.764    2528 242.54     3248  82.9671
 369 135.621    1089 115.638    1809 146.839    2529 227.448    3249 195.171
 370 134.989    1090 116.638    1810 142.919    2530 140.316    3250 196.718
 371 113.34     1091 121.355    1811 106.516    2531 115.898    3251  94.6033
 372 108.351    1092 118.984    1812 101.199    2532 207.575    3252  87.8097
 373 113.902    1093 108.572    1813 117.481    2533 234.348    3253 182.521
 374 115.836    1094 112.633    1814 119.422    2534 235.038    3254 206.372
 375 115.162    1095 136.796    1815 107.246    2535 203.857    3255 220.464
 376 114.061    1096 138.455    1816 109.743    2536 105.442    3256 222.752
 377 111.496    1097 118.496    1817 130.54     2537 144.543    3257 215.904
 378 108.446    1098 113.3      1818 128.685    2538 142.569    3258 220.992
 379 102.851    1099 116.99     1819 103.58     2539  89.5794   3259 233.741
 380 108.104    1100 116.182    1820 100.268    2540  84.1044   3260 231.652
 381 132.046    1101 109.546    1821 113.285    2541 109.059    3261 210.655
 382 139.285    1102 106.119    1822 118.921    2542 117.926    3262 199.817
 383 135.453    1103 102.633    1823 120.045    2543 110.638    3263 218.613
 384 134.166    1104 104.277    1824 117.955    2544 106.867    3264 214.94
 385 134.444    1105 112.936    1825 111.47     2545 103.515    3265 177.198
 386 128.886    1106 114.963    1826 110.874    2546 102.336    3266 125.75
 387 112.866    1107 111.765    1827 114.906    2547 100.258    3267 108.048
 388 110.135    1108 110.519    1828 109.254    2548  84.9011   3268 104.976
 389 116.611    1109 110.23     1829  92.7805   2549  59.8166   3269 112.669
 390 113.13     1110 110.909    1830 101.739    2550  63.3685   3270 114.611
 391  98.0927   1111 112.786    1831 154.419    2551 122.186    3271 112.227
 392  97.9526   1112 109.022    1832 163.436    2552 102.263    3272 108.924
 393 112.465    1113  97.451    1833 142.75     2553  47.1694   3273 102.173
 394 116.876    1114  96.7745   1834 129.761    2554  48.3336   3274 100.605
